id,district,lor,street,month,hour,weekday,injury,collision,movement,light_conditions,bicycle,car,pedestrian,motorbike,truck,other_vehicle,road_conditions,longitude,latitude,Combo_type
193179,Mitte,1011203,Unter den Linden Süd,March,9,Friday,minor,0,Paralle Traffic,Daylight,0,1,0,0,0,0,Dry,13.39269,52.51229,car + 
193180,Spandau,5030832,Rohrdamm,March,15,Tuesday,minor,2,Stationary Traffic,Daylight,0,1,0,0,0,0,Wet,13.27013,52.53649,car + 
193181,Reinickendorf,12214422,Klixstraße,March,11,Wednesday,minor,2,Stationary Traffic,Daylight,0,1,0,0,0,0,Dry,13.31011,52.56796,car + 
193182,Reinickendorf,12231102,Frohnau,March,6,Wednesday,minor,5,Crossing,Daylight,1,1,0,0,0,0,Dry,13.28749,52.63213,bicycle + car + 
193183,Neukölln,8020727,Buckow Mitte,March,8,Thursday,minor,5,Crossing,Daylight,0,1,0,0,0,0,Wet,13.43512,52.42304,car + 
193184,Lichtenberg,11010207,Wartenberg Nord,March,6,Wednesday,minor,6,Overtaking,Daylight,0,0,1,0,0,1,Dry,13.50695,52.57552,pedestrian + other
193185,Marzahn-Hellersdorf,10020416,Böhlener Straße,March,15,Tuesday,minor,6,Overtaking,Daylight,0,0,1,0,0,1,Wet,13.61936,52.54121,pedestrian + other
193186,Charlottenburg-Wilmersdorf,4051551,Brabanter Platz,March,6,Wednesday,minor,6,Turning,Daylight,0,0,1,0,0,1,Dry,13.32045,52.47878,pedestrian + other
193187,Neukölln,8010301,Reuterkiez,March,18,Tuesday,minor,0,Stationary Traffic,Daylight,0,1,0,0,0,1,Dry,13.42827,52.48687,car + other
193188,Pankow,3030405,Karow Nord,March,7,Wednesday,minor,5,Crossing,Daylight,1,1,0,0,0,0,Dry,13.494,52.61527,bicycle + car + 
193189,Marzahn-Hellersdorf,10020413,Gut Hellersdorf,March,7,Wednesday,minor,5,Crossing,Daylight,0,1,0,0,0,1,Dry,13.59173,52.54159,car + other
193190,Marzahn-Hellersdorf,10010309,Springpfuhl,March,17,Tuesday,serious,5,Crossing,Daylight,0,1,0,0,0,0,Wet,13.53863,52.52463,car + 
193191,Marzahn-Hellersdorf,10010309,Springpfuhl,March,7,Wednesday,minor,0,Other,Daylight,0,1,0,0,0,1,Dry,13.55045,52.53353,car + other
193192,Tempelhof-Schöneberg,7040403,Manteuffelstraße,March,19,Tuesday,minor,2,Turning,Night,0,1,0,0,0,1,Dry,13.37588,52.45775,car + other
193193,Pankow,3061227,Humannplatz,March,8,Wednesday,minor,2,Other,Daylight,0,1,0,0,0,0,Dry,13.42483,52.54704,car + 
193194,Mitte,1011201,Wilhelmstraße,March,8,Wednesday,serious,5,Turning,Daylight,1,0,0,0,1,0,Dry,13.38423,52.50993,bicycle + truck + 
193195,Charlottenburg-Wilmersdorf,4010103,Paul-Hertz-Siedlung,March,10,Wednesday,minor,3,Stationary Traffic,Daylight,0,1,0,0,1,0,Dry,13.29329,52.53414,car + truck + 
193196,Reinickendorf,12301204,Wittenau Nord,March,15,Tuesday,minor,5,Crossing,Daylight,1,1,0,0,0,0,Dry,13.30663,52.59163,bicycle + car + 
193197,Charlottenburg-Wilmersdorf,4030726,Droysenstraße,March,11,Wednesday,serious,5,Crossing,Daylight,1,1,0,0,0,0,Dry,13.30676,52.50002,bicycle + car + 
193198,Neukölln,8041036,Zittauer Straße,March,7,Wednesday,minor,5,Crossing,Daylight,1,1,0,0,0,0,Dry,13.47605,52.40934,bicycle + car + 
193199,Mitte,1033203,Humboldthain Nordwest,March,23,Friday,minor,0,Driving,Night,1,0,0,0,0,0,Dry,13.37718,52.54561,bicycle + 
193200,Mitte,1011202,Unter den Linden Nord,March,15,Tuesday,minor,0,Overtaking,Daylight,1,0,1,0,0,0,Wet,13.38819,52.51983,bicycle + pedestrian + 
193201,Charlottenburg-Wilmersdorf,4030620,Alt-Lietzow,March,11,Wednesday,serious,0,Other,Daylight,1,0,0,0,0,0,Dry,13.30394,52.51817,bicycle + 
193202,Mitte,1033203,Humboldthain Nordwest,March,19,Wednesday,fatal,6,Overtaking,Dawn,0,1,1,0,0,1,Dry,13.37369,52.53778,car + pedestrian + other
193203,Treptow-Köpenick,9020701,Adlershof West,March,11,Thursday,minor,5,Turning,Daylight,1,0,0,0,1,0,Dry,13.53862,52.43453,bicycle + truck + 
193204,Charlottenburg-Wilmersdorf,4030726,Droysenstraße,March,13,Tuesday,minor,1,Paralle Traffic,Daylight,1,1,0,0,0,1,Dry,13.30395,52.50425,bicycle + car + other
193205,Spandau,5020626,Adamstraße,March,15,Tuesday,minor,6,Overtaking,Daylight,0,1,1,0,0,0,Wet,13.19774,52.52257,car + pedestrian + 
193206,Steglitz-Zehlendorf,6010209,Feuerbachstraße,March,9,Tuesday,minor,5,Crossing,Daylight,0,1,0,1,0,0,Dry,13.33512,52.46258,car + motorbike + 
193207,Steglitz-Zehlendorf,6020303,Lankwitz Kirche,March,15,Tuesday,serious,1,Paralle Traffic,Daylight,0,1,0,1,0,0,Wet,13.34443,52.43552,car + motorbike + 
193208,Neukölln,8010510,Gewerbegebiet Köllnische Heide,March,8,Tuesday,serious,5,Crossing,Daylight,0,1,0,0,0,0,Dry,13.47051,52.46249,car + 
193209,Pankow,3030711,Blankenburg,March,7,Tuesday,minor,5,Turning,Daylight,1,1,0,0,0,0,Dry,13.4582,52.59331,bicycle + car + 
193210,Neukölln,8010509,Schulenburgpark,March,15,Tuesday,minor,5,Crossing,Daylight,1,1,0,0,0,0,Wet,13.47646,52.46264,bicycle + car + 
193211,Steglitz-Zehlendorf,6040701,Wannsee,March,18,Tuesday,serious,1,Paralle Traffic,Dawn,1,1,0,0,0,0,Dry,13.1853,52.42829,bicycle + car + 
193212,Mitte,1011301,Charitéviertel,March,19,Tuesday,minor,3,Stationary Traffic,Night,0,1,0,0,0,0,Dry,13.37569,52.5284,car + 
193213,Pankow,3061228,Erich-Weinert-Straße,March,16,Friday,minor,2,Stationary Traffic,Daylight,0,1,0,1,0,0,Dry,13.43063,52.55117,car + motorbike + 
193214,Neukölln,8010117,Schillerpromenade,March,15,Tuesday,minor,6,Overtaking,Daylight,0,1,1,0,0,0,Wet,13.42586,52.47832,car + pedestrian + 
193215,Neukölln,8020622,Parchimer Allee,March,15,Tuesday,minor,6,Overtaking,Daylight,0,1,1,0,0,0,Wet,13.43655,52.44936,car + pedestrian + 
193216,Spandau,5010103,Amorbacher Weg,March,19,Tuesday,minor,5,Crossing,Night,0,1,0,0,0,0,Dry,13.19853,52.55531,car + 
193217,Lichtenberg,11020513,Orankesee,March,23,Tuesday,minor,5,Turning,Night,0,1,0,0,0,1,Dry,13.46795,52.54667,car + other
